,name,comment,mark
0,"
              2022款ID.4 X 智享长续航版
            ","写完回头写下这篇文字，原来写了这么多。献给一些心动但又想得到中肯建议的人。

先说外观，整个感觉挺年轻的，不是大众车给人的那种刻板印象。胖墩墩的，挺圆润可爱的，但前脸又感觉很生气很有气势，所以奶凶奶凶的。外观最吸睛的是矩阵大灯以及前面的灯条，拿钥匙靠近迎宾时那种互动很带劲，大灯像眼球搬转动，连着车标和一整条LED灯带一起亮，赚了不少回头率。路上看到这种灯，我自己都多看两眼。

续航我挺满意的，坐标广州夏天开空调城市快速路大概13电耗，塞车开半自动驾驶大概17电耗。高速路应该要更低。

内饰的话，简单得来又有点惊喜，比全球（好啦，说一汽也行）版本更年轻时尚，中控比全球版本做得人性化。座位很舒服，还配有按摩功能。但如果是运动一点的风格就更得我心了。全景天幕有够大的，贴车衣送的冰甲还被要求加钱?，最重要的，有遮阳帘！够良心！

我选的智享长续航版是最具性价比的，但如果有极致长续航版（多一个360），我也许会选。

谈到空间，后排座位够大，地台纯平，后备箱也很大。美中不足的是后排座椅放下不能跟后备箱水平，要增购一些配件才可以做到。

智能化的话，赞一下IQ.LIGHT（还是ID.LIGHT？），还有AR-HUD，提高了驾驶安全性。即使我是22款，没有21款的断网、死机、黑屏等，但是我开始得说车机的第三方太少了，目前只有唱吧、酷我（太垃圾）、美团（有什么用？）还有个央视做的APP，只有一个爱奇艺还有点用。听说大众中国的软件工程师有不少能人，知道中国用户需要什么，但大众中国的权限太少了。车机界面的话我不太感冒，够用了，但逻辑可能偏欧洲。不过有Carplay，弥补了很多很多，车机再差也没问题了。但是如果能用carplay里的苹果地图和高德地图，能映射到AR-HUD上就更好了，万人血书求这个功能。

还有墙盒没有联网功能，也没有蓝牙功能，摔！我是22款，倒是能预约充电，听说21款车机有bug不能预约。

钥匙不能让车发出喇叭声寻车，有时候很不方便。

驾驶感受，说几个好的：
1，转弯半径很小，对我实在太有用了，因为我家小区车库设计太脑残了，我其它两辆油车出车库都要多调一次头；
2，底盘很厚实，转弯很稳，高速很平稳；
3，电门调教得很像油车，很舒服，不快但是可以超大部分路上的油车，够了够了，不是赛车；
4，B档没有这么大得拖拽感，虽然我不用；
5，半自动驾驶是L2+级，车道保持非常优秀，配合AR-HUD挺实用的。

讲几个不好的：
1，我要吐槽制动系统，但不是吐槽后轮鼓刹，后轮的鼓刹我只有一句话：后轮是大陆集团的电子鼓刹，绝对制动力比碟刹更大且鼓刹系统较轻还环保，被诟病的鼓刹弊端热衰减对电动车来说无所谓，因为家用车吨位没这么大且不大可能出现那种连续重刹的使用场景，做过测试用动能回收模式的情况下城市路段的制动系统温度基本保持在30度以内，怎么热衰减？？（好像这句话有点长?）
我也不是吐槽刹车前段偏软，那是因为鼓刹系统还没介入工作，用的是动能回收的制动方式（也呼应了前段），我也能适应。
我要吐槽的是刹车到地区状态，会突然感觉刹车力道被卸。今天得到官方确认，为了安全（我其实没搞懂），车速小于7㎞/h时，电机反向充电的制动力会撤出，最终车主的感受是刹车最后段（从7㎞/h以上到7km/h以下）非常不线性，因为你预期能刹停的距离其实不够，最后还要踩深一点。
而且刹车如果控制不好后会前后浪，因为那脚感很难控制得好，所以基本上都是浪。
2，这是我第一台SUV，不知是不是我SUV开得少的原因，我觉得悬挂偏硬，低速过减速带不太舒服。

哇，写了好多，希望加精。

---------分界线---------

220629再补充一点

我在买上汽大众的墙盒前看到APP里有“我的专属桩”的模块，还能扫码。也看到一汽的姊妹车型APP里可以绑定墙盒，就默认他们的桩具备联网功能。

结果上汽大众的墙盒是不带物联网和蓝牙功能的。这导致21款的车友们要等ota升级车机才能预约充电，虽说我是22款本身就可以依靠车机预约充电，但是总感觉被欺骗了，心里不太舒服。如果真要咬文嚼字，真不能说上汽大众什么有什么责任，毕竟人家ID豆说明里写得很明白，墙盒的相关资讯要问经销商，只能怪自己自作聪明了。",4.14
1,"
              2022款ID.4 X 智享长续航版
            ","坐标深圳，智享长续航，选配抬显，5月1号订车，19号通知提车，优惠完开票卡20万价格拿补贴，落地全款22万左右，省补8000已拿到手，在等区补11000审批，综合下来21万不到拿下
24000的id豆换了终身保养，轮胎险，保险补贴，三电终身，整车质保6年/18万公里，剩400豆换了v豆
4s送了行车记录仪，原厂挡泥板脚垫行…李垫，全车kdx防晒膜
自己本身开r56 mini jcw，家里有其他车，自己是银行业上班，买车原因不想jcw浪费公里数在跑业务上，家里有固定车位，就决定买一台电车城市代步，看了不少电车，中心主旨，空间大，价格不想超25万，拒绝油改电，因为两个娃，后期想买台7座mpv。本来想买aion y，涨价就觉得性价比不高。model 3后排太小，y超一点点预算，重点是要等车太久，放弃。理想one太大台，6座鸡肋。小鹏p5车身比例太丑，p7原因跟tsl 3一样。byd实在喜欢不起来，一言难尽。其他新势力就不太放心。id系列也是无意中发现，后面了解了下好歹全球销量也不错，考虑过id6，但是也是太大台，6座7座第三排都很鸡肋，而且我中间要放安全座椅，更加不好用第三排，放弃。id3也喜欢，车内空间其实跟id4差不多，毕竟轴距一样，就是车顶矮一点，车尾箱小了点，家里有小车了就不考虑了。从知道id4到下订48小时不到，问了crozz跟x，喜欢crozz前脸，但是其他折算送电卡1万多对于我可以装充电桩来说作用不大，22款配置两家都基本一致，对比下来x综合价格权益比较符合我。自己对车内智能不太感冒，觉得够用就好，自己开mini车机也只是听听歌广播，看看车子信息。id4的车机对于我已经十分够用了。国内新势力车内配置太内卷，好像少个两三个大屏就不是行内标准。我觉得车重点还是放在安全性跟驾驶感上比较好。开过不少电车，对比下来，说实在，id4的行驶质感很好，底盘很扎实。车内空间也达到个人预期需求。
目前开了1200多一点公里，家里充电花了50块不到，尝试了玩下快充花了20块。一般30%冲到80%，没什么里程焦虑，就没有特别省电开，经常躲车里开着空调玩手机。
车子车机一次转向灯声音消失故障，一次断网，均重启车机后恢复。有几次低速倒车时紧急制动，估计防碰撞太灵敏。自动跟车挺好用，自动降速加速不突兀。
总的下来，id4还是不错的。如果家里能装充电桩的直接冲电车就好，没啥好焦虑的。我也不怎么考虑保值率问题，未来的事谁知道呢。",4.29
2,"
              2022款ID.4 X 纯净长续航版
            ","外观，内饰都是我能接受的比较中庸，但也是比较排上风格。不激进，不寒碜。
电动车，首先他是一个车，是一个好车。所以我选择传统品牌，而不是新势力。首先看中大众，是因为我老婆一直跟我说要高尔夫。高尔夫就是典型的大众风格，中庸不突出，底盘没的说，喜欢大众也是从他们主管的帕萨特开始的，我开过好几次，动力你踩下去就有，加速很平顺，开着很稳，给人很扎实的感觉。
之前是开手动挡雪佛兰的，13年的小排量自吸手排，开了整整九年，15万公里，勤勤恳恳任劳任怨，从没有把我扔路上，也没什么大毛病。但是吧九年十年的美系车就是一个坎了，底盘异响渗油，避震换过了还是给人一种要散架的感觉了。所以果断换车。看来看去都是看大众，老婆就要大众。朗逸速腾高尔夫，凌度一直到迈腾帕萨特，途岳途观探岳。实车看了，试驾了几个，都蛮灵个。后来帕萨特途观跪了，探岳堵了，我撤了。后来机缘巧合看到了ID，ID3预售定了，后来价格出了我退了。纠结啊看看ID4，我算了算，很好我两个房子都可以装私桩，算来算去就他了。
空间蛮大的，驾驶感受没有ID3好，但胜在空间续航跟马力。躺下来只差2W。11.08下定12.03提车，一切顺利。目前已经行驶8800km，刚提车那会死机一次，SOS报警，跑了三次店里，之后就没出过问题。
冬天夏天的续航都试过了，高速，郊区，城区。冬天实际续航380，电耗22。夏天实际续航460-480，电耗15-18。
实际提速感觉很快，跟A4一个级别。极速说160实际我只能开到145，再踩没力了，120以后提速无力。这个就是有时候很不爽，猛的卡罗拉我都干不过，那个瞬间我很后悔没上特斯拉。但是事后想想，特斯拉不适合我，容易把自己开晕车。
我老婆问我几次了，买这车后悔吗？我觉得我不后悔，总体是很好的一个车。如果再让我选一次，钱够的话我想我会要ET5，除了这个我还是稳选ID4x。",3.86
3,"
              2022款ID.4 X 极智长续航版
            ","外观：颜值符合我的审美，家人也都说好看，耐看。原来已经订了宋plus ev的，看到id4x的颜值，改换门庭了。
内饰：还是比较大众的感觉，总体有点迎合年轻人，硬塑料较多，软质包裹还偏少，钢琴烤漆易留下指纹。5.3寸的小屏实在有点寒酸，改为10寸，我觉得这车能大卖！
空间：作为日常上下班代步车，周末接送孩子，空间绝对够用，但也没有超过预期，比宋plus ev还略小了一点。
续航：比较扎实，不虚标。
智能化：这是id4x最短的那块短板，车机只是够用，有时候甚至连够用都没有，不能语音开关升降车窗，不能语音激活辅助驾驶，不能的事情太多，希望后期ota能改进。
车机智能化和那块5.3寸的小屏如果能改进，感觉这车绝对能大卖。
驾驶感受：很德系。方向盘低速很轻，高速又很稳，悬架干脆，减震支撑度够，过弯很有信心。255+235、21寸大轮毂，抓地力强，胎噪控制到位，虽然没有双层玻璃，但隔音效果很好。加装的抬头显示一定程度上弥补了5.3寸小屏的寒酸，导航效果确实比一般抬显好不少；加装的哈曼卡顿音响符合预期。",4.07
4,"
              2022款ID.4 X 纯净长续航版
            ","从考虑添置一台新能源到买车历时3个月时间，从最开始考虑的荣威科莱威到model y，我发现国内新能源的车型真的太少了，没得选。
        因为油价屡创新高家里2台油车已经限制了我的出行，再也没有5块钱一升的大油门了，最开始只想考虑个买菜车，平时上一班代步，价格便宜回本容易，想想都会笑，然后两门2座科莱威自然进去了我的视线，但是因为本地4S没有2座现车，多花4000块买2个座位又觉得不划算，再加上没快充，最终还是舍弃了，接着入眼的就是长安奔奔e-ster,刚开始看就迎来了一波改款，我喜欢的内饰直接涨价1万，但是还有些许后悔没有早点看奔奔，接着就迷茫了，本想买个买菜车所以没想贵的，迷茫期一个月，当时都准备放弃买电车了，每天在网上看比亚迪元pro，价格略高有快充底盘高，看着看着又来一波涨价7000，新上的元plus但是没涨价，看了下外形内饰，不是我的菜，又一次放弃了，后来看了电马和特斯拉，看了看价格超预算太多了，果断放弃。
       直到有一天推了个id广告，我才发现大众还有这么好看的电车啊，紧接着网上看测评和车主评论，公认的电池不虚，这不就是我需要的吗，51抽时间进店看实车，果断下定，经历了一个半月的等车，销售通知提车了，自此我就成了id车主。
       经过半个月的使用，满电到20跑了400多公里，半程空调，我觉得续航真心不焦虑，现在气温高开空调能耗高，但是这样的能耗我觉得春秋季能到650到700，以后夏天可以不焦虑实现空调自由了",4.57
5,"
              2022款ID.4 X 智享长续航版
            ","首先说一下，下定ID4之前也对比了很多车型，但是最终还是选择上汽大众ID4，3.25下定  5.16上牌 5.19提车，提车时间也是够长了。
  提车第一时间体验了一把，加速够用，但是刹车有点偏软，可能是我之前车改过刹车，习惯了重力刹车，后期会把刹车改一下，提速不能和某拉某来比。
  内饰做工还是不错的，座椅挺舒服，，按摩力度稍微小了点，车机系统升级，已经没有了之前车友说的黑屏卡机现象了，车机可玩性不高，但是可以看电影，不算卡，无限流量
提车到现在充了第一次电，满电显示530公里，打开空调 显示480公里，提车时候店里给充了百分之90电，一直都是一脚电门到底，来回超车，实际只跑了280公里，还有70公里续航
改装音响的时候拆开门板，里面加固很实在，后面图片可以看到，至于为什么没有选择哈曼，而是去改装，第一豆子不够了，如果够我不会选，因为之前车改过音响，拆下来了，第二，4000的哈曼它的音质确实有点尴尬，所以最后还是选择在外面改装。
   车子到现在为止  装潢分别是  量子钻石V70  五福金牛360软包脚垫和后备箱垫，两块屏幕钢化膜和一些内饰垫。
最后说下，车子开起来很顺手，上手没有任何问题。",4.43
6,"
              2022款ID.4 X 极智长续航版
            ","这次就简单说下ID4原车音响，原车确实有7个扬声器，中控台一个中置中音，前门各有一个中低音，A柱上有个高音，后门是同轴喇叭，本着喜欢听歌的原理，试了一下原厂音响，因为每个人需求不同，我个人感觉只能听听，听人声不透彻，如果听DJ低音也是一带而过，拆开门板，原车喇叭材质很普通，原车四门也没有隔音。
 改装方案 前门德国彩虹GL~C6.2 两分频 中置中音SL-M3    
德国彩虹DREAM4100功放
德国彩虹汽车音响SL-P0855A 10路6通道DSP功放
德国ETON伊顿原装进口Force12-600G10寸12寸车载低音炮
德国ETON伊顿汽车音响改装pow200.2两分频8寸高中低音套装喇叭
四门和后备箱隔音  俄罗斯STP小炸弹",4.14
7,"
              2022款ID.4 X 劲能四驱版
            ","外观方面：
车身线条营造出饱满的样子显车子很大，前脸和尾部的贯穿式车灯效果很棒，特别是晚上识别率很高。
内饰：
另一辆车是荣威的Marvel X对比一下ID4X来说硬塑料偏多，科技感很强但豪华感的营造基本没有，务实简约为主，车机暂时用下来很流流畅主要是连CarPlay用，不需要插线也不用自己点开，手套箱前还有后排出风口的亮面塑料件很容易留下划痕。
座椅：
感觉偏硬，不过长距离行驶腰部的支撑性很好，特别夸一下座椅按摩的力度大很舒服，就是座椅上的花纹夏天坐上面有点硌着难受。
空间：
储物空间很多，全景天窗的面积很大，唯一不足就是比较喜欢露营，后排放倒以后和后备箱不是平的，不能像model Y 那样直接当床睡。
续航：
如果说这辆车最大的优点，必须是续航能力，日常通行差不多电耗在18度左右。
驾驶：
底盘相对来说偏硬，滤震做的一般，每天出小区的减速条，必须要慢慢压过去，有次速度快了点冲过去，颠的人有点晕疼，在D档模式下和汽油车驾驶感受一摸一样，这个必须点赞? 因为我不太喜欢电动车死拽着减速的回能系统，容易让坐着的人晕车，而id4x的这D档完全和汽油车的驾驶感受一摸一样，感觉在开一部科技感很强的途观L一样。",3.86
8,"
              2022款ID.4 X 纯净长续航版
            ","【空间表现】
空间比较不错，我身高一米八，前排调好后排有两拳，后排头顶四指左右，后备箱空间表现优秀。
【充电时间】
快充从%20-80%大概五十分钟左右，速度跟充电桩的功率有关。
【续航】
城市道路目前五月天气，偶尔开空调，续航大概五百左右。不开空调续航能达到标称里程甚至更高。
【智能化】
智能化程度相对新势力品牌，功能不够强大，系统稳定性有待提高，目前遇到过系统时间丢失，过了几个小时自己好了，别的没有遇到过。
【最不满意】
方向盘调的有点重，起步转向倒车揉库时单手费劲，跑起来后力度可以。内饰塑料板太阳暴晒后，中控大台会有异响。
【驾驶感受】
整体驾驶感受不错，底盘扎实，转向灵敏可控性强。减震整体来说偏软，坑洼路段晃动较明显。",4
9,"
              2022款ID.4 X 智享长续航版
            ","恰逢上海疫情，等待了45天才提车。因为深度试驾过这款车，驾驶感受极好，符合大众一如既往的质感，车非常好开，尤其是从油车到电车的司机，完全不会不适应。虽然没有极致的零百加速，但定位于家用的这款车，不会让家人有眩晕感，路上还是照秒油车。试了所谓的L2级辅助驾驶，只需手扶方向盘，即可完全解放双脚，可以实现跟停和启动。
        续航方面，我开了两天，基本城市道路，电耗在13-15，目前天气情况下开600以上可以实现。很扎实，看着续航让人很有信心，完全符合家用需求。
       空间方面，后排空间很大，满座情况下一点不拥挤，尤其是后备箱空间。唯一一点不如意的地方是后排放倒和后备箱有高度差，打算买个车载魔盒实现纯平，还能储物，一举两得。
        智能化方面，这点感觉不是大众所擅长的，语音控制极其低端，举个例子，在车机导航已设置好家位置的情况下，“你好大众，导航回家”，竟然不能实现……还有22款的自动泊车辅助，我地库车位试了好几次，都识别不到车位，还在研究中。
        总结来说，车是好车，如果你就把它当车开，那它会给你惊喜；如果还想要它实现这样那样的功能，那还是选择新势力更好一些。对于我们这些人来说，大众的优势在于服务网络完善，当然有人会说服务态度问题，我只能说，有这么多4S店不会换一家服务好的？人无完人，车无完车，选择自己喜欢的就好，何必在乎别人的看法呢？再说网上说三道四的，哪个不是喷子？",4.29
