name,price,title,location
潮瑞科技西南行业之星|9年诚信老店,2513,项目管理CRM进销存ERP系统OA行业/定制开发,上海
百荣科技-国家高新企业,1899,物流APP开发源码智慧物流运输管理系统仓储物流/订单跟踪,上海
千赞科技-国家高新技术企业,1000,3D地图设计高德GIS开发3D开发三维地图echarts前端,上海
拓冠科技-行业之星服务商,28000,企业管理/外贸ERP管理系统/OA/CRM/ERP定制,上海
麦秸映像IT开发-微信/小程序/app,5000,嵌入式/开发制作直播系统平台数据分析定制智慧管理oacrm,上海
中科大重点孵化企业-海拔网络,1500,微信开发微信公众账号微信制作OTO行业微信平台开发,上海
简意电商连锁品牌店,1000,公司企业网站建设开发模板建站网站网页制作设计手机电商网站建设,上海
北京明创12年老店高新企业,50000,明创合同管理文档管理ERP系统CRM客户管理系统协同OA办公,上海
赤尤科技,2000,系统|供应商管理系统|SRM系统|采购平台|招投标,上海
群鲸灵活用工,100,灵活用工/系统定制以及后端委托代征银行T0结算等配套,上海
爱企购,1688,微信小程序开发商城积分分销在线教育微官网人才公众号定制开发,上海
技术奇客,1000,小程序定制开发-提供前后台开发,上海
上海宝有软件,10000,MES生产管理系统免费试用可定制二次开发,上海
千匠网络,2000,支付宝小程序商城百度小程序微信小程序抖音小程序商城,上海
程序小站_G,5000,企业资源计划,上海
专业ERP/CRM定制开发,10000,CRM客户关系管理系统，数据存储系统,上海
it福利院,1000,salesforce平台开发维护,上海
讯联灵犀平台,888,讯联灵犀-/平台/会员营销,上海
探讯科技,50000,定制化APP开发、网站建设、小程序开发,上海
炎泉网络,1,量身定制的新时代企业数字化管理神器,上海
湖北贝克尔网络技术有限公司,3000,大型在线教育平台,上海
上海元科科技,500,快速建站一小时建站,上海
华献软件,2000,人脸识别应用平台,上海
软件saas特惠,5000,新年特惠小程序,上海
爱海米科技服务,500,海米教育管理系统,上海
云擎,10000,WMS源代码出售,上海
企业精准化服务商,6000,教学系统/定制/学习平台/企业大学/培训平台,上海
JY.C 公众号/小程序开发,7880,微盟·外卖一体化小程序外卖解决方案,上海
上海丰进信息科技有限公司,98,BizCloud工业企业销售业务管理/服务,上海
J_Oracle,799,Oracle数据库安装,上海
微飒科技,3200,微信官网,上海
LightingFire刘迎光,398,全新“一站式”建站，高质量，高服务*高售后的一条龙服务,上海
朱佥,1,物流运输管理tms路径规划（线路规划）算法API网络服务,上海
江善工作室,100001,APP开发,上海
上海索向,50000,管理/开发,上海
柠奥科技,1500,裂变红包/微红包/微信营销活动/活动策划,上海
飒普科技（上海）,888,食品行业/定制食品行业APP开发食品行业小程序开发,上海
灵动数据信息,1000,数据库服务,上海
挚游网络,100,微信小程序|智能名片|三级分销系统|分销商城|微信开发|公众,上海
元恒信息,2000,企业快速建站/品牌官网搭建/企业官网/响应式交互门户,上海
亲平信息科技,2000,亲平企业中台数据中台业务中台,上海
上海艺赛旗,12000,RPA流程自动化机器人一年高手包,上海
库洛姆网络科技（上海）有限公司,100,资深、专业、多年从事电商行业平台的打造,上海
悠栉科技,3600,教育/开发（小程序开发/公众号开发/微信开发/分销商城）,上海
paladinzh,8000,移动app开发,上海
TJS物联网解决方案提供商,65000,图骥幕墙生产管理系统,上海
上海鸿嘉网络,20000,数字化校园解决方案／老师学生家长管理／档案及客户关系系统,上海
小新也开发,5000,小团队多年php商城开发和微信端开发经验价格按需求再议,上海
百荣科技-国家高新企业,4098,仓储物流/出入库数据库IT开发定制企业管理系统平台,上海
麦秸映像IT开发-微信/小程序/app,1300,智能/开发智慧园林城市展厅社区校园餐厅农业酒店停车物业服务,上海
简意电商连锁品牌店,1500,企业网站建设网站制作网站开发定制网页设计网站仿站公司网站网站,上海
爱企购,500,erp进销存管理系统定制开发供应商管理报价管理,上海
上海宝有软件,1000,ERP系统订制开发可订制/系统,上海
千匠网络,2000,百度小程序微信小程序抖音小程序支付宝小程序,上海
炎泉网络,575,商业智能数据可视化分析实时BI工具,上海
企业精准化服务商,6000,题库系统/开发/成品购买/定制开发,上海
JY.C 公众号/小程序开发,19800,微盟·智慧零售,上海
元恒信息,3000,定制开发/erp/开发人事管理系统考勤系统crm,上海
亲平信息科技,2000,商城ERP/POS收银系统自助收银,上海
上海艺赛旗,10000,RPA流程自动化机器人,上海
悠栉科技,4800,定制/电商商城/小程序/多商户入驻/社交/外卖/开发,上海
TJS物联网解决方案提供商,76000,RFID食品追溯管理系统,上海
上海鸿嘉网络,20000,OC*字识别App/开发*、印刷品识别，手写识别,上海
百荣科技-国家高新企业,1899,商场|团队|文件|考勤|预算|薪酬|知识|学籍管理系统,上海
麦秸映像IT开发-微信/小程序/app,6100,生产型erp/系统ae/oa/crm制造工业智能化管理开发,上海
简意电商连锁品牌店,750,网站建设网站制作开发企业网站定制公司官网前端模板建站网站模板,上海
爱企购,500,crm客户管理系统开发销售订单管理系统企业管理系统开发,上海
上海宝有软件,1000,TMS运输管理系统免费试用可订制开发,上海
千匠网络,2000,小程序商城/+定制开发_公众号商城_微信商城_微商城,上海
炎泉网络,575,业务流程梳理与优化BPM管理,上海
