步履不停,2008,8.8,251819
黑客帝国2：重装上阵,2003,8.7,372062
彗星来的那一夜,2013,8.5,506823
战争之王,2005,8.7,331501
崖上的波妞,2008,8.6,434686
心灵奇旅,2020,8.7,861316
爱乐之城,2016,8.4,792646
谍影重重2,2004,8.7,323525
燃情岁月,1994,8.8,264781
阿飞正传,1990,8.5,461202
海洋,2009,9.1,149298
谍影重重,2002,8.6,388847
再次出发之纽约遇见你,2013,8.6,393438
火星救援,2015,8.5,649585
末路狂花,1991,8.9,212226
穿越时空的少女,2006,8.6,353534
朗读者,2008,8.6,426551
香水,2006,8.5,506826
地球上的星星,2007,8.9,188782
我爱你,2011,9.0,151499
完美陌生人,2016,8.5,489145
千年女优,2001,8.8,226932
驴得水,2016,8.3,849256
聚焦,2015,8.8,253758
浪潮,2008,8.7,254026
肖申克的救赎,1994,9.7,2626325
霸王别姬,1993,9.6,1950526
阿甘正传,1994,9.5,1974562
泰坦尼克号,1997,9.4,1935074
这个杀手不太冷,1994,9.4,2125563
美丽人生,1997,9.6,1213607
千与千寻,2001,9.4,2050983
辛德勒的名单,1993,9.6,1012453
盗梦空间,2010,9.4,1892157
忠犬八公的故事,2009,9.4,1294400
星际穿越,2014,9.4,1583853
楚门的世界,1998,9.3,1506636
海上钢琴师,1998,9.3,1539336
三傻大闹宝莱坞,2009,9.2,1716513
机器人总动员,2008,9.3,1212148
放牛班的春天,2004,9.3,1197694
无间道,2002,9.3,1216188
疯狂动物城,2016,9.2,1730437
大话西游之大圣娶亲,1995,9.2,1405338
熔炉,2011,9.3,855857
控方证人,1957,9.6,463353
教父,1972,9.3,872203
当幸福来敲门,2006,9.2,1395001
触不可及,2011,9.3,977328
怦然心动,2010,9.1,1672540
龙猫,1988,9.2,1159093
末代皇帝,1987,9.3,780886
寻梦环游记,2017,9.1,1492490
蝙蝠侠：黑暗骑士,2008,9.2,966096
活着,1994,9.3,752767
哈利·波特与魔法石,2001,9.1,1049432
指环王3：王者无敌,2003,9.3,731051
乱世佳人,1939,9.3,631269
素媛,2013,9.3,619859
飞屋环游记,2009,9.1,1212998
摔跤吧！爸爸,2016,9.0,1441044
我不是药神,2018,9.0,1921225
何以为家,2018,9.1,945761
十二怒汉,1957,9.4,435155
哈尔的移动城堡,2004,9.1,919034
少年派的奇幻漂流,2012,9.1,1247737
鬼子来了,2000,9.3,565678
猫鼠游戏,2002,9.1,889220
大话西游之月光宝盒,1995,9.0,1120637
天空之城,1986,9.1,752860
闻香识女人,1992,9.1,796296
天堂电影院,1988,9.2,631001
钢琴家,2002,9.3,550587
